Id,Designator,Package,Quantity,Designation,JLCPCB
1,"D2,D1",D_SOD-323_HandSoldering,2,1N5819HW,C191023
2,"J2,J1,J3,J13,J4,J14",PJ341,6,PJ341,-
3,"RV9,RV7,RV8,RV6",Potentiometer_Alps_RK09K_Single_Vertical,4,10K,-
4,"RV2,RV4,RV3,RV5",Potentiometer_Alps_RK09K_Single_Vertical,4,10K Vol,-
5,RV1,Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,1,B10K,-
6,"C5,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,22u,C45783
7,"C7,C8,C9,C10",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4,100n,C14663
8,"R17,R20",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,51K,C23196
9,"R19,R38",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,100K,C25803
10,"R21,R22,R27,R28,R23,R24",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,6,10K,C25804
11,"R29,R30",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,470,C23179
12,U1,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074,C12594
13,J12,IDC-Header_2x05_P2.54mm_Vertical,1,Euro power header,-
14,"R7,R5,R3,R1",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4,50K,C23196
15,"C2,C1",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,0.47uF,C1868
16,"R34,R33",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,10,C17903
17,J5,PinHeader_1x03_P2.54mm_Vertical,1,Attenuator Jumper 1,-
18,"R35,R15,R16,R36",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,100K,C149504
19,U2,SOIC-8_3.9x4.9mm_P1.27mm,1,RC4580,C80100
20,"R2,R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,LIN1.5K,-
21,J6,PinHeader_1x03_P2.54mm_Vertical,1,Attenuator Jumper 2,-
22,"R25,R26",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,1K,C21190
