Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,24.4664,-95.9082,180.0,bottom
C2,0.47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,28.759,-94.5366,90.0,bottom
C5,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,16.9,-74.4,180.0,bottom
C6,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.9,-74.9,180.0,bottom
C7,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,26.7462,-74.2696,180.0,bottom
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,26.7462,-84.8106,180.0,bottom
C9,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,20.3262,-91.9458,0.0,bottom
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,13.392,-100.4294,90.0,bottom
D1,1N5819HW,D_SOD-323_HandSoldering,17.2212,-71.9836,180.0,bottom
D2,1N5819HW,D_SOD-323_HandSoldering,4.6482,-72.1106,180.0,bottom
R1,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.3332,-5.1816,0.0,bottom
R3,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.3332,-19.5326,0.0,bottom
R5,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.0792,-34.3916,0.0,bottom
R7,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.7904,-43.9928,0.0,bottom
R15,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,19.5642,-104.341,180.0,bottom
R16,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.3394,-92.403,-90.0,bottom
R17,51K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,26.3,-68.9,0.0,bottom
R19,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,34.6202,-59.6646,180.0,bottom
R20,51K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,30.3784,-58.7756,-90.0,bottom
R21,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.3182,-71.9836,0.0,bottom
R22,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.9,-73.3,-90.0,bottom
R23,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,5.3148,-101.6486,0.0,bottom
R24,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,13.6206,-93.4698,90.0,bottom
R25,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,8.947,-103.7822,0.0,bottom
R26,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,8.7692,-91.006,0.0,bottom
R27,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,20.5294,-78.4584,180.0,bottom
R28,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.6992,-84.8106,0.0,bottom
R29,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,13.4936,-80.0332,180.0,bottom
R30,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,13.4112,-87.3506,180.0,bottom
R33,10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.1972,-104.3918,0.0,bottom
R34,10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,13.7222,-90.371,0.0,bottom
R35,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,27.7684,-90.4218,180.0,bottom
R36,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,31.9532,-88.6206,90.0,bottom
R38,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,26.3,-66.1,0.0,bottom
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,27.6352,-79.4766,-90.0,bottom
U2,RC4580,SOIC-8_3.9x4.9mm_P1.27mm,17.4052,-96.8226,90.0,bottom
